onset	duration	trial_type	sample	value
0.0	5.0	speech_window	0	第13問
5.0	5.0	speech_window	5120	はい
10.0	5.0	speech_window	10240	単なる信仰では安心できないと思う
15.0	5.0	speech_window	15360	答え
20.0	5.0	speech_window	20480	20年を目標に東亜連盟の生産力をして
25.0	5.0	speech_window	25600	米州の生産力を追い越させようとするのである確かに
30.0	5.0	speech_window	30720	驚くべき計画であり、空想と笑われても無理はない。我らも、
35.0	5.0	speech_window	35840	決して楽観してはいない何事
40.0	5.0	speech_window	40960	難事中の至難事であるしかし
45.0	5.0	speech_window	46080	神の恩のため、全人類のために、何としてもこれは実現できる。
50.0	5.0	speech_window	51200	この頃の日本人は口に精神大事なことを言っていました。
55.0	5.0	speech_window	56320	資源獲得にのみ熱狂している
60.0	5.0	speech_window	61440	ドイツの今日は資源貧弱の苦境を克服
65.0	5.0	speech_window	66560	するための努力が科学技術の進歩をもたらしたのである
70.0	5.0	speech_window	71680	ドイツを尊敬する人はまずこの点を学ぶべきである。特に、
75.0	5.0	speech_window	76800	最終戦争と日華分の関係にあるいわゆる第二三次戦争
80.0	5.0	speech_window	81920	この点が最も寛容である
85.0	5.0	speech_window	87040	資源もある程度は必要であるしかるに日未来
90.0	5.0	speech_window	92160	♪
95.0	5.0	speech_window	97280	日本刀を鍛えた砂鉄は、80億億トン、あるいは
100.0	5.0	speech_window	102400	100億トンと言われているこれだけでも鉄について日本は
105.0	5.0	speech_window	107520	♪
110.0	5.0	speech_window	112640	西洋の製鉄法を模倣してきた日本はまだ砂鉄製錬に
115.0	5.0	speech_window	117760	完全な成功を収めなかった最近は準日本式の
120.0	5.0	speech_window	122880	卓越な方法が成功しつつある。
125.0	5.0	speech_window	128000	マンシュー国の鉄の埋蔵
130.0	5.0	speech_window	133120	石炭は日本内にも相当にあるが、
135.0	5.0	speech_window	138240	満州国の東半分はどこを掘っても豊富な石炭が出ています
140.0	5.0	speech_window	143360	さらに、3星に行けば、世界周知の大資源が出てくる。
145.0	5.0	speech_window	148480	石油は日本国内にもまだまだある。
150.0	5.0	speech_window	153600	厚側から最強、感性、視線
155.0	5.0	speech_window	158720	ウンナンを経てビルマに至るアジアの大輸脈
160.0	5.0	speech_window	163840	ランウィンの石油はその
165.0	5.0	speech_window	168960	末端と言われる現に厚
170.0	5.0	speech_window	174080	最強完成
175.0	5.0	speech_window	179200	地栓に油の出ることは余人の知るところである。
180.0	5.0	speech_window	184320	はい
185.0	5.0	speech_window	189440	日本の歴史
190.0	5.0	speech_window	194560	日本式の簡単で優秀な世界無比の能力強い方式が
195.0	5.0	speech_window	199680	成功しつつある前期の七崎式の成功
