onset	duration	trial_type	sample	value
0.0	5.0	speech_window	0	第6節 第二次欧州大戦
5.0	5.0	speech_window	5120	第二次欧州大戦ではドイツのいわゆる電撃作戦が
10.0	5.0	speech_window	10240	ポーランドノルウェーのような 弱小国に対して
15.0	5.0	speech_window	15360	決戦戦争を強行し得たことはもちろん意図するに
20.0	5.0	speech_window	20480	しかし、仏英軍との間にはおそらく
25.0	5.0	speech_window	25600	マジのジークフリーとの戦でそう対峙しお互いにそのとおり
30.0	5.0	speech_window	30720	突破が至難で自給戦争になるものと考えたのであります
35.0	5.0	speech_window	35840	ドイツがオランダベルギーに侵入することはあってもそれは英国に
40.0	5.0	speech_window	40960	戦争に対する作戦基地を得るためで連合軍の主力との間に
45.0	5.0	speech_window	46080	真の対決戦が行われるだろうとは考えられませんでした
50.0	5.0	speech_window	51200	しかるに5月10日以来のドイツの猛撃は
55.0	5.0	speech_window	56320	春季にオランダ、ベルギーを屈服せしめ、南高地域を
60.0	5.0	speech_window	61440	と信ぜられたマジの延長線を突破してビルギーに
65.0	5.0	speech_window	66560	進出した津江の背後に迫りたちまちこれを撃滅し
70.0	5.0	speech_window	71680	さらに北欧転じてマジノセン伊勢の地区からパリに迫って
75.0	5.0	speech_window	76800	これを抜き、ホランダ侵入以来わずか5週間で強敵フランスに
80.0	5.0	speech_window	81920	定戦を壊しめるに至りましたすなわち世界
85.0	5.0	speech_window	87040	フランスに対しても見事な決戦を
90.0	5.0	speech_window	92160	はい
95.0	5.0	speech_window	97280	はい
100.0	5.0	speech_window	102400	第1次欧州大戦においてはドイツの武力は連携的に
105.0	5.0	speech_window	107520	第4章
110.0	5.0	speech_window	112640	遥かに劣勢であり繊維は双方愛譲らない
115.0	5.0	speech_window	117760	ありさまで大体語学の勝負でありましたところが
120.0	5.0	speech_window	122880	ヒトラーがドイツを支配して以来、ドイツは真に諸国一致、
125.0	5.0	speech_window	128000	全力を挙げて軍備の大拡充に努力したのに対し
130.0	5.0	speech_window	133120	自由主義の仏英は万全これを見送ったために
135.0	5.0	speech_window	138240	空軍は質量ともに断然ドイツが優勢であることは
140.0	5.0	speech_window	143360	世界が等しく認めていたのであります今後いよいよ
145.0	5.0	speech_window	148480	戦争の幕を開けてみるとドイツ機械化兵団が極めて
150.0	5.0	speech_window	153600	精鋭かつ優勢であるのみならず一般シタンの数も
155.0	5.0	speech_window	158720	普通A側に対しドイツはおそらく3分の1以上も優勢を
160.0	5.0	speech_window	163840	保持しているらしいのですしかもauヒットラーにより
165.0	5.0	speech_window	168960	全国力が完全に統一運用されているのに対し
170.0	5.0	speech_window	174080	10年前ドイツがライン真鍮を決行した時フランスが断然
175.0	5.0	speech_window	179200	ベルサイユ条約に基づきドイツに一撃を加えることを主張したのです
180.0	5.0	speech_window	184320	に対し英国は反対しその後も作戦計画につき
185.0	5.0	speech_window	189440	ことごとに意見の位置を見なかったと信ぜられます
190.0	5.0	speech_window	194560	フランスの戦意はこんな関係で第一次欧州大戦のようだ
195.0	5.0	speech_window	199680	♪
200.0	5.0	speech_window	204800	構築されていなかったらしいのです。
205.0	5.0	speech_window	209920	フランス
210.0	5.0	speech_window	215040	おそらく軍当局はこれを報道しているのではないかと。
215.0	5.0	speech_window	220160	この
220.0	5.0	speech_window	225280	この有力なベルギー派遣軍がドイツの電撃作戦に
225.0	5.0	speech_window	230400	あって徹底的打撃を受け英軍は本国へ
230.0	5.0	speech_window	235520	逃げ帰りました英国が本気でやる気持ちを
235.0	5.0	speech_window	240640	♪
240.0	5.0	speech_window	245760	A仏の感情はおそらく気が付きません。
245.0	5.0	speech_window	250880	と考えられます。
250.0	5.0	speech_window	256000	フェタン
255.0	5.0	speech_window	261120	将軍を首相としてドイツに降伏しました
260.0	5.0	speech_window	266240	このように考えますと今時の戦争は全く
265.0	5.0	speech_window	271360	五角の勝負ではなく連合側の物心両面における
270.0	5.0	speech_window	276480	花々しい劣勢が必然的にこの結果を招いたのである。
275.0	5.0	speech_window	281600	そもそも時給戦争は大体互角の戦争力を有する
280.0	5.0	speech_window	286720	第1次
285.0	5.0	speech_window	291840	欧州大戦では開戦初期の作戦はドイツの全勝
290.0	5.0	speech_window	296960	思わせたのでしたがマルヌで突然の反撃に敗れまた
295.0	5.0	speech_window	302080	最後の1918年のルーデンドルフの大公正で
300.0	5.0	speech_window	307200	北フランスにおける戦場付近で津泳軍に大打撃を受けた
305.0	5.0	speech_window	312320	戦争の運命
310.0	5.0	speech_window	317440	運命を消し得るのではないかとさえ見えたのでしたが
315.0	5.0	speech_window	322560	ついに失敗に終わりました両軍は大体ここまで
320.0	5.0	speech_window	327680	1937年
325.0	5.0	speech_window	332800	フィンランドは
330.0	5.0	speech_window	337920	ソ連に屈服はしたものの極めて劣勢の兵力
335.0	5.0	speech_window	343040	長寿日ソ連の
340.0	5.0	speech_window	348160	♪
345.0	5.0	speech_window	353280	防御威力のいかに大になるかを示しました。
350.0	5.0	speech_window	358400	ベルギー戦線でもまだ詳細は分かりませんがブリュッセル方面
355.0	5.0	speech_window	363520	ドイツ軍は大きな抵抗に遭い、
360.0	5.0	speech_window	368640	♪
365.0	5.0	speech_window	373760	第4章
370.0	5.0	speech_window	378880	などがありますが十分の戦備と決心を持って
375.0	5.0	speech_window	384000	戦う敵戦の突破は、今日も依然として至難で、
380.0	5.0	speech_window	389120	はい
385.0	5.0	speech_window	394240	であると観察されます
