onset	duration	trial_type	sample	value
0.0	5.0	speech_window	0	先頭
5.0	5.0	speech_window	5120	市内では花といえば生け野で知らないものはない長さ
10.0	5.0	speech_window	10240	5、6寸あって上唇の上から顎の下まで下がります
15.0	5.0	speech_window	15360	下がっている。形は、もとも先も同じように太い。
20.0	5.0	speech_window	20480	いわば細長い蝶爪のようなものがぶらりと顔の真ん中からぶら下がって
25.0	5.0	speech_window	25600	50歳を超えた内宮は、社民の昔から
30.0	5.0	speech_window	30720	内道上グーブの職に上った今日までなぜか
35.0	5.0	speech_window	35840	この話を聞いてみましょう。
40.0	5.0	speech_window	40960	これは
45.0	5.0	speech_window	46080	先年に当来の浄土を活業すべき僧侶の身で
50.0	5.0	speech_window	51200	「腹の心配をするのが悪いと思ったから」ばかりではない。
55.0	5.0	speech_window	56320	自分の花を気にしているということを人に知られるのが嫌だったからである
60.0	5.0	speech_window	61440	「ない」は日常の談話の中に「花」という語が出てくるのを
65.0	5.0	speech_window	66560	何よりも恐れていたナイグが花を持て余した理由は2つ
70.0	5.0	speech_window	71680	1つは実際的に鼻の長いのが不便だった
75.0	5.0	speech_window	76800	第一を飯を食う時にも
80.0	5.0	speech_window	81920	一人では食えない一人で食えば鼻の先が金まりの中へ
85.0	5.0	speech_window	87040	その
90.0	5.0	speech_window	92160	その向こうへ座らせて、飯を食う間中
95.0	5.0	speech_window	97280	広さ1寸長さ2尺ばかりの板で花を持ち上げて
100.0	5.0	speech_window	102400	しかしこうして虫を食うということは
105.0	5.0	speech_window	107520	持ち上げている弟子にとっても 持ち上げられている内偶にとっても
110.0	5.0	speech_window	112640	一度この弟子の代わりをした中道寺の
115.0	5.0	speech_window	117760	♪
120.0	5.0	speech_window	122880	当時京都まで建殿されたけれどもこれは何かと言うと
125.0	5.0	speech_window	128000	大愚にとって決して腹を苦にやんだ主な理由ではない。大愚は、
130.0	5.0	speech_window	133120	実にこの花によって傷つけられる自尊心のために苦しんだのである
135.0	5.0	speech_window	138240	イケノオの町の者はこういう花をしている全地内部
140.0	5.0	speech_window	143360	あの花で
145.0	5.0	speech_window	148480	誰も妻になる女があるまいと思ったからである
150.0	5.0	speech_window	153600	中にはまたあの花だから出家したのだろうと批評するものさえあった
155.0	5.0	speech_window	158720	しかし内偶は自分がそうであるために幾分でも
160.0	5.0	speech_window	163840	この花に煩わされることが少なくなったと思っていない
165.0	5.0	speech_window	168960	内偶の頭本心は、最大というような結果的な
170.0	5.0	speech_window	174080	事実に左右されるためにはあまりにデリケートにできていたのである
175.0	5.0	speech_window	179200	そこで内偶は積極的にも消極的にもこの自尊心の
180.0	5.0	speech_window	184320	第1に内偶の考え方を説明します。
185.0	5.0	speech_window	189440	この長い花を10歳以上に短く見せる工夫である
190.0	5.0	speech_window	194560	これは人のいない時に鏡へ向かっていろいろな角度から顔を映している
195.0	5.0	speech_window	199680	♪
200.0	5.0	speech_window	204800	を変えるだけでは安心ができなくなって 頬杖をついたり顎の先
205.0	5.0	speech_window	209920	♪
210.0	5.0	speech_window	215040	しかし自分でも満足するほど鼻が短く見えたことは
215.0	5.0	speech_window	220160	これまでにただの一度もない時によると苦心すればする
220.0	5.0	speech_window	225280	かえって長く見えるような気さえした。
225.0	5.0	speech_window	230400	こういう時には鏡を運べしまいながら今更のようにため息をついて
230.0	5.0	speech_window	235520	♪
235.0	5.0	speech_window	240640	読みに変えるのであるそれからば
240.0	5.0	speech_window	245760	池の尾の寺は
245.0	5.0	speech_window	250880	僧侶公設などの芝生が行われる寺である
