onset	duration	trial_type	sample	value
5.0	5.0	speech_window	5120	大キロスト・カッサンダネとの息子 ペルシャ王・カンベリア
10.0	5.0	speech_window	10240	エジプト
15.0	5.0	speech_window	15360	ファリスカスなるものがあった父祖はずっと
20.0	5.0	speech_window	20480	東方のバクトリア辺りから来たものらしくいつまでたっても
25.0	5.0	speech_window	25600	田舎の風になじまぬすこぶる隠うつな田舎者である
30.0	5.0	speech_window	30720	どこか無双的なところがあり、そのため相当な位置に板にもかかっている。
35.0	5.0	speech_window	35840	いつも人々の嘲笑を買っていた
40.0	5.0	speech_window	40960	ペリシャ軍がアラビアを過ぎ、いよいよエジプトの地に入った。
45.0	5.0	speech_window	46080	このパリスカスの様子の異常さが、
50.0	5.0	speech_window	51200	パリスカスは見慣れぬ周囲の風物を見つけた。
55.0	5.0	speech_window	56320	♪
60.0	5.0	speech_window	61440	不安げな表情で考え込んでいる何か思い出そうと
65.0	5.0	speech_window	66560	♪
70.0	5.0	speech_window	71680	エジプト軍の捕虜どもが陣中に
75.0	5.0	speech_window	76800	引っ張られてきた時その中のあるものの話している言葉が
80.0	5.0	speech_window	81920	彼の耳に入ったしばらく妙な顔をしてそれに聞いて
85.0	5.0	speech_window	87040	彼はなんだか彼らの言葉の意味がわかるようになった
90.0	5.0	speech_window	92160	「自分でその声を聞いてみてください」
95.0	5.0	speech_window	97280	はい
100.0	5.0	speech_window	102400	パリスカスは部下をやって、
105.0	5.0	speech_window	107520	その捕虜がエジプト人かどうかというのは
110.0	5.0	speech_window	112640	エジプト軍の大部分はギリシャ人その他の
115.0	5.0	speech_window	117760	確かにエジプト人だった
120.0	5.0	speech_window	122880	という返事である彼はまた不安な表情をして考えに
125.0	5.0	speech_window	128000	彼は今までに一度もエジプトに遊びました。
130.0	5.0	speech_window	133120	アーメン
135.0	5.0	speech_window	138240	イエス
140.0	5.0	speech_window	143360	彼はなお、ぼんやりと考え込んでいた。
145.0	5.0	speech_window	148480	♪
150.0	5.0	speech_window	153600	入場した時パリスカスの沈鬱な興奮はさらに
155.0	5.0	speech_window	158720	さらに著しくなった転換描写の発作直前
160.0	5.0	speech_window	163840	♪
165.0	5.0	speech_window	168960	なっていた 購買たちも少々気味が悪くなってきた
170.0	5.0	speech_window	174080	メムフィスの街は街外れに立っているオベリスクの
175.0	5.0	speech_window	179200	彼はその表に彫られた絵画風な文字を使いました
180.0	5.0	speech_window	184320	悪い声で呼んだ。そして同僚たちにその火を立てた。
185.0	5.0	speech_window	189440	その興行とやはり低い声で説明した
190.0	5.0	speech_window	194560	同僚の書生はみな変な気持ちになって顔を見えました
195.0	5.0	speech_window	199680	パリスカス自身もすこぶる変な顔をしていた
200.0	5.0	speech_window	204800	誰もパリスカス自身も今までパリスカスがエジプトに来ていたことを知っている。
205.0	5.0	speech_window	209920	エジプトの歴史に通じているとも、エジプト文字が読めるとも、
210.0	5.0	speech_window	215040	その頃から
215.0	5.0	speech_window	220160	パリスカスの主人カンビスセツ王も次第に凶暴な
220.0	5.0	speech_window	225280	風天の気に侵され始めたようである彼はエジプトを
225.0	5.0	speech_window	230400	草めニトスに牛の血を
230.0	5.0	speech_window	235520	それだけでは飽き足らず今度は反対
235.0	5.0	speech_window	240640	♪
240.0	5.0	speech_window	245760	管理施設が含むところのあったのは、
245.0	5.0	speech_window	250880	アメシス王の方だったからである彼は自ら
250.0	5.0	speech_window	256000	アメシス王の病所のあるサイスの町
255.0	5.0	speech_window	261120	サイスに着くと彼は子アメシス王の
260.0	5.0	speech_window	266240	その屍を掘り出して
265.0	5.0	speech_window	271360	はい
270.0	5.0	speech_window	276480	アメシス王の母性の
275.0	5.0	speech_window	281600	所在は匠にくらまされていた
280.0	5.0	speech_window	286720	ペルシャ軍の少子はサイスシナ以外の
285.0	5.0	speech_window	291840	多数の墓地を一つ一つ暴いて、改めて歩かねばならない。
