onset	duration	trial_type	sample	value
30.0	5.0	speech_window	30720	寺田屋事件で息子が死んだことを知り自身
60.0	5.0	speech_window	61440	数字記号によって区別されるため数字部分が同じであっても
65.0	5.0	speech_window	66560	設定することが可能である
80.0	5.0	speech_window	81920	3の例としては塩酸、硫酸、硝酸、酸素酸、
85.0	5.0	speech_window	87040	酸酸などが挙げられ、塩基の例としては塩化ナトリウム、
90.0	5.0	speech_window	92160	酸化ナトリウム、水酸化カリウム
95.0	5.0	speech_window	97280	アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール、アルコール
100.0	5.0	speech_window	102400	妖怪たちを束ねており
105.0	5.0	speech_window	107520	吸血鬼のような風貌をしている
115.0	5.0	speech_window	117760	次女は身受けされたり、年期が終わり、人にとっては、
120.0	5.0	speech_window	122880	すぐものもいたが 家庭になじめず
125.0	5.0	speech_window	128000	戻りすることもあった
140.0	5.0	speech_window	143360	駅前は駅を中心に放射状の
145.0	5.0	speech_window	148480	♪
150.0	5.0	speech_window	153600	飲食店が数軒ある
160.0	5.0	speech_window	163840	その武力は抜けんでたものがあり、
165.0	5.0	speech_window	168960	はい
170.0	5.0	speech_window	174080	と豪語していた
